               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  98,            0.040611,            0.033099,           0.0054735,             0.57112,             0.79778,             0.75125,              0.3752,            0.048793,            0.015102,            0.009132,            0.006799,            0.006799,            0.006799
                  99,            0.041581,            0.035234,           0.0060864,             0.70301,             0.86432,               0.929,             0.37722,            0.050456,            0.014317,           0.0091404,            0.006766,            0.006766,            0.006766
                 100,            0.049557,            0.025319,           0.0057998,             0.70301,             0.86432,               0.929,             0.37722,            0.050456,            0.014317,           0.0091404,            0.006733,            0.006733,            0.006733
                 101,            0.046489,            0.029895,           0.0085369,             0.34782,             0.66667,              0.6155,             0.27838,            0.053603,            0.014278,            0.010812,              0.0067,              0.0067,              0.0067
                 102,            0.056136,            0.025516,           0.0047289,             0.34782,             0.66667,              0.6155,             0.27838,            0.053603,            0.014278,            0.010812,            0.006667,            0.006667,            0.006667
                 103,            0.050571,            0.027391,            0.011996,             0.61857,             0.81367,               0.797,              0.3515,            0.041755,            0.014877,            0.013888,            0.006634,            0.006634,            0.006634
                 104,            0.041668,            0.026743,           0.0065859,             0.61857,             0.81367,               0.797,              0.3515,            0.041755,            0.014877,            0.013888,            0.006601,            0.006601,            0.006601
                 105,            0.043044,            0.021572,           0.0046851,             0.61554,             0.66667,             0.73145,             0.26975,            0.057765,            0.013971,            0.015964,            0.006568,            0.006568,            0.006568
                 106,            0.052546,            0.024603,           0.0078818,             0.61554,             0.66667,             0.73145,             0.26975,            0.057765,            0.013971,            0.015964,            0.006535,            0.006535,            0.006535
                 107,            0.079168,            0.022168,           0.0081043,             0.47419,             0.66667,              0.6495,             0.33646,            0.050169,            0.014687,            0.017248,            0.006502,            0.006502,            0.006502
                 108,            0.040013,            0.030629,            0.011957,             0.47419,             0.66667,              0.6495,             0.33646,            0.050169,            0.014687,            0.017248,            0.006469,            0.006469,            0.006469
                 109,            0.044625,             0.02551,           0.0061295,              0.4875,             0.66667,             0.61042,             0.19727,            0.065182,            0.013547,            0.016809,            0.006436,            0.006436,            0.006436
